Report generated on: 09-09-2022 23:11:57
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.2-12-WORL-BKWH.A","    Generation (billion kWh)","8017.590350709011","8073.384882909436","8255.4883439262","8594.771855056671","9085.148539370703","9463.924684108728","9660.179602121925","10100.19388960805","10534.432375760682","11062.108921070827","11310.03470973098","11550.535005674617","11633.22258808871","11906.423625448557","12182.904831084767","12627.084520743236","13010.988465095794","13339.723265281515","13677.56796584877","14016.494958597432","14634.579781088318","14885.901651070428","15399.929538719329","15935.554338739788","16705.79283456455","17349.91860820781","18047.74375902186","18900.96284736767","19191.139568759747","19129.61768283401","20475.105160308663","21151.08653348481","21651.000568564446","22368.13548276585","22775.29874733226","23230.6446153753","23901.243678388942","24534.805612465472","25360.37462301812","25743.662824954998","25608.19707895978","NA"
"INTL.27-12-WORL-BKWH.A","        Nuclear (billion kWh)","684.380218970399","778.641894829824","866.986699756588","982.49256103806","1197.84611612309","1426.47518046108","1518.76965876341","1655.30614077561","1796.1016542685","1844.5626434595","1910.12004100967","1997.904169","2016.976568","2082.995441","2126.550589","2211.430158","2292.98698696","2272.7306736","2317.4670482","2394.2321468","2451.39628052","2518.2787124","2547.167007471","2519.2682696","2620.440522","2626.545073","2661.3128038","2609.6242712","2598.8695046","2561.7035888","2629.10387366","2518.0974628","2347.0947108","2364.296125","2419.59673","2448.1674216","2488.9862588","2514.5028579","2568.4466119","2673.4008577","2591.35639853","NA"
"INTL.28-12-WORL-BKWH.A","        Fossil fuels (billion kWh)","5588.874065247","5525.695247607","5563.292388937","5703.434012349","5912.569199488","6043.397152885094","6103.5351320080445","6398.839903837161","6613.935287410931","7053.6721755778135","7141.243425381255","7243.845302204044","7288.090937922068","7366.8195401665525","7568.480426759054","7804.469091668113","8065.9804838657765","8347.457581018076","8620.999657470393","8831.420799904534","9346.12230905941","9572.290984172696","9992.528493814874","10517.245293812713","10978.128527674227","11459.497241909623","11975.105404446716","12780.323997768515","12868.907586966398","12695.843331275108","13681.791630693257","14254.630331457192","14615.46913184684","14978.240514655594","15094.678031974854","15291.90201408028","15543.298683749716","15781.681242507368","16145.622939821014","16098.682090793005","15648.22572107968","NA"
"INTL.29-12-WORL-BKWH.A","        Renewables (billion kWh)","1754.115066491612","1779.940740472612","1833.719255232612","1918.5782816696121","1985.996760759612","2006.733248762554","2051.78315335047","2061.6553609952803","2140.669955081251","2178.297390033513","2278.6108153400546","2327.852556470573","2346.086700166642","2476.5560162820034","2507.3345513257123","2632.7557480751225","2675.242452270017","2745.4483336634394","2764.0729561783783","2817.1332428928986","2864.571410408906","2824.757794727732","2892.3352491574537","2928.8696441910756","3136.200658470322","3293.156170028184","3439.4285980551435","3539.543360139155","3749.0593466933487","3895.325121375902","4192.406394956407","4406.865487237618","4715.983468417608","5053.4899051102575","5291.434117357408","5520.193189954017","5906.037356839229","6278.128490058105","6683.794482797106","7008.542438461992","7406.2928251601","NA"
"INTL.33-12-WORL-BKWH.A","            Hydroelectricity (billion kWh)","1722.568089788","1746.76266412","1790.224237136","1871.988605537","1933.867666767","1952.058454059493","1991.789856238307","1995.836318310668","2072.167699621639","2060.351660025754","2144.407810315621","2182.938412571389","2188.693854335699","2313.692202036941","2336.55695062464","2453.528955696972","2489.918966132877","2545.305736337","2552.109439491","2589.493158715","2620.531646352","2565.641268834","2603.607175377754","2614.6518791797","2785.5792999206674","2904.889903569","3005.889159321","3047.853446209","3171.318582757374","3228.259748154297","3402.97344009276","3463.725609816501","3623.753567971446","3754.357808287864","3825.05179541632","3854.989290823776","3989.236871782858","4039.607138060828","4162.809801333647","4197.600331858052","4275.562434200198","NA"
"INTL.34-12-WORL-BKWH.A","            Non-hydroelectric renewables (billion kWh)","31.54697670361204","33.17807635261204","43.49501809661204","46.58967613261204","52.12909399261204","54.67479470306094","59.99329711216314","65.81904268461204","68.50225545961204","117.9457300077589","134.2030050244336","144.91414389918398","157.39284583094323","162.86381424506254","170.77760070107223","179.2267923781505","185.32348613714","200.14259732643944","211.9635166873782","227.6400841778987","244.03976405690602","259.11652589373193","288.72807377969986","314.2177650113755","350.62135854965504","388.2662664591842","433.53943873414335","491.68991393015506","577.7407639359748","667.0653732216051","789.4329548636467","943.1398774211175","1092.2299004461613","1299.1320968223931","1466.3823219410876","1665.2038991302404","1916.800485056371","2238.521351997277","2520.984681463459","2810.94210660394","3130.730390959902","NA"
"INTL.35-12-WORL-BKWH.A","                Geothermal (billion kWh)","13.340079416","14.748162688","15.713864896","17.806101212","20.33450396","22.3538424024489","24.9847521535511","26.883891111","27.212258871","32.772943","35.700171","36.932444","38.068962","39.038565","38.900453","38.1301503889533","40.5671116110467","42.000458","44.562419","47.725775","51.397195","51.003378","51.795001167","53.5098630182308","55.6913209490769","56.412595301","57.806707477","60.432326239","63.1170844029","65.11091356047","64.71385850492","65.675257230825","66.4336711717","67.926476402125","73.28065418245","76.1505547729","77.4780802607","80.18473961598","83.24232439204","85.0385060163093","88.1508348605964","NA"
"INTL.36-12-WORL-BKWH.A","                Solar, tide, wave, fuel cell (billion kWh)","0.47","0.53","0.57","0.57005","0.584297924","0.604680157","0.609131952","0.58559706","0.57319415","0.855527819","1.036390766","1.150170367","1.448460068","1.549892992","1.555746784","1.673649548","1.699220164","2.111669588","2.244526017","2.268710284","2.647574963","2.958008144","3.332477027","5.945108893","6.522424852","8.898181035","10.975670656","11.873275556","16.461460008","24.495597226","37.509102327","70.837884071","108.360313546","151.76753269760616","207.36310527408816","265.5840452679777","346.9694908069284","464.0417590338009","575.3423672796486","696.5866799577891","837.4633898645784","NA"
"INTL.117-12-WORL-BKWH.A","                    Tide and wave (billion kWh)","0.47","0.53","0.57","0.57","0.578","0.593","0.593","0.574","0.562","0.556","0.596","0.616","0.929","0.947","0.905","0.976","0.935","1.296","1.348","1.271","1.438","1.451","1.448","3.595","3.522","4.719","5.263","4.155","3.802","3.469","3.915","4.495","4.422","5.267","5.908","5.952","6.3471","6.729","6.833","7.265","8.133","NA"
